index,rank,word
8352,2,people
8361,2,people
8526,2,people
8543,2,people
9508,2,people
9572,2,people
9821,2,people
9914,2,people
10091,2,people
10103,2,people
10178,2,people
10199,2,people
10314,2,people
10325,2,people
10447,2,people
10460,2,people
10636,2,people
10823,2,people
10861,2,people
10875,2,people
10900,2,people
10994,2,people
11010,2,people
11033,2,people
11053,2,people
11165,2,people
11180,2,people
11305,2,people
11332,2,people
11470,2,people
12514,2,people
13051,2,people
13203,2,people
13338,2,people
13421,2,people
13480,2,people
13487,2,people
13525,2,people
14544,2,people
15059,2,people
15258,2,people
15422,2,people
15601,2,people
15689,2,people
15712,2,people
15723,2,people
15843,2,people
15866,2,people
15950,2,people
16118,2,people
16135,2,people
16156,2,people
16179,2,people
17277,2,people
17296,2,people
17797,2,people
17963,2,people
18148,2,people
18258,2,people
18289,2,people
18724,2,people
19530,2,people
19783,2,people
19970,2,people
20143,2,people
20196,2,people
20219,2,people
20308,2,people
20494,2,people
20646,2,people
20751,2,people
21057,2,people
21811,2,people
22017,2,people
22502,2,people
22532,2,people
22774,2,people
22784,2,people
22842,2,people
22961,2,people
23179,2,people
23587,2,people
23617,2,people
23779,2,people
23947,2,people
24061,2,people
24290,2,people
24516,2,people
24858,2,people
25731,2,people
26076,2,people
26210,2,people
26352,2,people
26384,2,people
26449,2,people
26492,2,people
26590,2,people
26646,2,people
27097,2,people
27614,2,people
27873,2,people
27893,2,people
27985,2,people
28054,2,people
28072,2,people
28120,2,people
28129,2,people
28139,2,people
28265,2,people
28304,2,people
28392,2,people
28463,2,people
28518,2,people
28558,2,people
28594,2,people
28766,2,people
28908,2,people
29082,2,people
29168,2,people
29322,2,people
29672,2,people
29708,2,people
29744,2,people
30247,2,people
30626,2,people
30669,2,people
31607,2,people
31805,2,people
32342,2,people
32412,2,people
32780,2,people
32783,2,people
32786,2,people
32789,2,people
33063,2,people
33333,2,people
33408,2,people
33417,2,people
33440,2,people
33757,2,people
34348,2,people
34379,2,people
34708,2,people
34726,2,people
1943,3,power
2162,3,power
2381,3,power
2518,3,power
4157,3,power
4168,3,power
4184,3,power
4286,3,power
4349,3,power
4375,3,power
4380,3,power
4396,3,power
5329,3,power
5509,3,power
5613,3,power
5646,3,power
5707,3,power
5745,3,power
5757,3,power
5787,3,power
5807,3,power
5822,3,power
5837,3,power
6121,3,power
6152,3,power
6330,3,power
7276,3,power
7348,3,power
7372,3,power
7389,3,power
7436,3,power
7506,3,power
7732,3,power
7804,3,power
7828,3,power
7892,3,power
